"DATE","Year","Month","Day","Tmin","Tmax","Tmean","Prec"
1996-01-19 12:00:00,1996,1,19,-3.27777777777778,-0.777777777777777,-1.88888888888889,0
1996-01-20 12:00:00,1996,1,20,-3.22222222222222,-0.111111111111111,-1.11111111111111,0
1996-01-21 12:00:00,1996,1,21,-1.61111111111111,0.777777777777777,-0.499999999999999,0
1996-01-22 12:00:00,1996,1,22,-1.88888888888889,4.11111111111111,0.0555555555555563,0
1996-01-23 12:00:00,1996,1,23,-4.27777777777778,0.611111111111112,-2.16666666666667,0
1996-01-24 12:00:00,1996,1,24,-2.88888888888889,0.611111111111112,-1.38888888888889,0
1996-01-25 12:00:00,1996,1,25,-7.5,-1.72222222222222,-5.94444444444444,0
1996-01-26 12:00:00,1996,1,26,-8.5,-6,-7.38888888888889,1.016
1996-01-27 12:00:00,1996,1,27,-6.88888888888889,0.111111111111113,-2.83333333333333,1.778
1996-01-28 12:00:00,1996,1,28,-5.22222222222222,-1.11111111111111,-2.83333333333333,0
1996-01-29 12:00:00,1996,1,29,-4,3.72222222222222,-1.22222222222222,0
1996-01-30 12:00:00,1996,1,30,-5.38888888888889,3.77777777777778,-0.111111111111111,0
1996-01-31 12:00:00,1996,1,31,-7.11111111111111,7.61111111111111,-0.833333333333333,0
1996-02-01 12:00:00,1996,2,1,-8.88888888888889,3.61111111111111,-2.33333333333333,0
1996-02-02 12:00:00,1996,2,2,-3.72222222222222,2.11111111111111,-0.666666666666666,0
1996-02-03 12:00:00,1996,2,3,-3,0.999999999999998,-0.944444444444444,1.778
1996-02-04 12:00:00,1996,2,4,-6.5,1.27777777777778,-2.72222222222222,0.254
1996-02-05 12:00:00,1996,2,5,-6.61111111111111,0.611111111111112,-3.55555555555555,0.254
1996-02-06 12:00:00,1996,2,6,-7.38888888888889,-0.222222222222221,-4.11111111111111,0
1996-02-07 12:00:00,1996,2,7,-7.61111111111111,-1.77777777777778,-4.83333333333333,0
1996-02-08 12:00:00,1996,2,8,-6.11111111111111,-1.38888888888889,-3.72222222222222,0
1996-02-09 12:00:00,1996,2,9,-6.88888888888889,4.38888888888889,-1,0
1996-02-10 12:00:00,1996,2,10,-0.499999999999999,5.27777777777778,1.66666666666667,0.254
1996-02-11 12:00:00,1996,2,11,1.11111111111111,7,4.05555555555555,0.762
1996-02-12 12:00:00,1996,2,12,1.38888888888889,5.22222222222222,3.61111111111111,1.27
1996-02-13 12:00:00,1996,2,13,0.277777777777778,3,1.44444444444445,3.81
1996-02-14 12:00:00,1996,2,14,-0.111111111111111,1.72222222222222,0.777777777777777,1.524
1996-02-15 12:00:00,1996,2,15,-1,0.999999999999998,-0.166666666666667,0
1996-02-16 12:00:00,1996,2,16,-0.499999999999999,6.61111111111111,3.5,3.302
1996-02-17 12:00:00,1996,2,17,3.61111111111111,6.77777777777778,4.88888888888889,6.604
1996-02-18 12:00:00,1996,2,18,2.27777777777778,5.88888888888889,3.5,3.302
1996-02-19 12:00:00,1996,2,19,0.999999999999998,5.11111111111111,2.5,9.144
1996-02-20 12:00:00,1996,2,20,-3,2,-0.555555555555556,0.762
1996-02-21 12:00:00,1996,2,21,-6.77777777777778,-1,-4.33333333333333,0
1996-02-22 12:00:00,1996,2,22,-6.11111111111111,0,-3.66666666666667,0
1996-02-23 12:00:00,1996,2,23,-7.5,1.38888888888889,-3.38888888888889,0.508
1996-02-24 12:00:00,1996,2,24,-4.11111111111111,4.77777777777778,0.0555555555555563,0
1996-02-25 12:00:00,1996,2,25,0.999999999999998,10.3888888888889,6.66666666666667,1.778
1996-02-26 12:00:00,1996,2,26,4.88888888888889,13.3888888888889,8.88888888888889,0
1996-02-27 12:00:00,1996,2,27,3.22222222222222,10.6111111111111,5.72222222222222,2.54
1996-02-28 12:00:00,1996,2,28,0.611111111111112,11.1111111111111,4.77777777777778,0
1996-02-29 12:00:00,1996,2,29,-3.72222222222222,5.77777777777778,0.555555555555556,0
1996-03-01 12:00:00,1996,3,1,-3.11111111111111,3.5,1.33333333333333,0
1996-03-02 12:00:00,1996,3,2,-6,3.72222222222222,-1.05555555555555,1.016
1996-03-03 12:00:00,1996,3,3,-4.5,5.77777777777778,0.944444444444446,0
