Treatment;Initial_Condition;Date;Final_Condition;Date2;Day
6;Outside;04/02/2019;Heated;02/04/2019;77
7;Heated;04/02/2019;Heated;02/04/2019;77
12;Outside;04/02/2019;Outside;02/04/2019;77
13;Heated;04/02/2019;Heated;02/04/2019;77
22;Heated;04/02/2019;Heated;02/04/2019;77
23;Heated;04/02/2019;Heated;02/04/2019;77
24;Heated;04/02/2019;Heated;02/04/2019;77
25;Outside;04/02/2019;Outside;02/04/2019;77
26;Outside;04/02/2019;Outside;02/04/2019;77
27;Outside;04/02/2019;Outside;02/04/2019;77
3;Heated;04/02/2019;Heated;02/04/2019;77
8;Outside;04/02/2019;Un-heated;02/04/2019;77
9;Un-heated;04/02/2019;Outside;02/04/2019;77
14;Outside;04/02/2019;Outside;02/04/2019;77
15;Un-heated;04/02/2019;Un-heated;02/04/2019;77
28;Un-heated;04/02/2019;Un-heated;02/04/2019;77
29;Un-heated;04/02/2019;Un-heated;02/04/2019;77
30;Un-heated;04/02/2019;Un-heated;02/04/2019;77
31;Outside;04/02/2019;Outside;02/04/2019;77
32;Outside;04/02/2019;Outside;02/04/2019;77
33;Outside;04/02/2019;Outside;02/04/2019;77
1;Outside;14/02/2019;Outside;02/14/2019;87
4;Heated;14/02/2019;Heated;02/14/2019;87
5;Heated;14/02/2019;Heated;02/14/2019;87
10;Un-heated;14/02/2019;Un-heated;02/14/2019;87
11;Heated;14/02/2019;Heated;02/14/2019;87
16;Heated;14/02/2019;Heated;02/14/2019;87
17;Heated;14/02/2019;Heated;02/14/2019;87
18;Heated;14/02/2019;Heated;02/14/2019;87
19;Un-heated;14/02/2019;Outside;02/14/2019;87
20;Un-heated;14/02/2019;Un-heated;02/14/2019;87
21;Un-heated;14/02/2019;Heated;02/14/2019;87
2;Un-heated;14/02/2019;Un-heated;02/14/2019;87
6;Heated;14/02/2019;Heated;02/14/2019;87
7;Heated;14/02/2019;Heated;02/14/2019;87
12;Outside;14/02/2019;Outside;02/14/2019;87
13;Heated;14/02/2019;Heated;02/14/2019;87
22;Heated;14/02/2019;Heated;02/14/2019;87
23;Heated;14/02/2019;Heated;02/14/2019;87
24;Heated;14/02/2019;Heated;02/14/2019;87
25;Outside;14/02/2019;Un-heated;02/14/2019;87
26;Outside;14/02/2019;Heated;02/14/2019;87
27;Outside;14/02/2019;Outside;02/14/2019;87
3;Heated;14/02/2019;Heated;02/14/2019;87
8;Un-heated;14/02/2019;Un-heated;02/14/2019;87
9;Outside;14/02/2019;Outside;02/14/2019;87
14;Outside;14/02/2019;Outside;02/14/2019;87
15;Un-heated;14/02/2019;Un-heated;02/14/2019;87
28;Un-heated;14/02/2019;Heated;02/14/2019;87
29;Un-heated;14/02/2019;Outside;02/14/2019;87
30;Un-heated;14/02/2019;Un-heated;02/14/2019;87
31;Outside;14/02/2019;Heated;02/14/2019;87
32;Outside;14/02/2019;Un-heated;02/14/2019;87
33;Outside;14/02/2019;Outside;02/14/2019;87
